Company;TypeName;Inches;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Asus;Gaming;17.3;AMD Ryzen 1700 3GHz;16GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.25kg;2199.00
Lenovo;Notebook;17.3;AMD A8-Series 7410 2.2GHz;4GB;128GB SSD;AMD Radeon R5;Windows 10;2.6kg;489.00
Dell;2 in 1 Convertible;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.62kg;869.01
HP;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon R5;Windows 10;1.91kg;488.99
Lenovo;Netbook;11.6;Intel Celeron Quad Core N3450 1.1GHz;4GB;128GB SSD;Intel HD Graphics 500;Windows 10;1.59kg;553.00
Dell;Notebook;15.6;Intel Celeron Dual Core N3060 1.60GHz;4GB;500GB HDD;Intel HD Graphics 400;Windows 10;1.8kg;309.00
Asus;Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5kg;286.00
Acer;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Linux;2.4kg;846.00
HP;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3.35kg;1191.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;No OS;1.85kg;403.50
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.3kg;1655.00
Lenovo;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.5kg;1099.00
Asus;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;1748.90
Lenovo;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.13kg;2282.00
Lenovo;Notebook;13.3;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.5kg;549.00
Dell;Workstation;15.6;Intel Core i5 6440HQ 2.6GHz;8GB;500GB HDD;AMD FirePro W5130M;Windows 10;2.23kg;1369.00
Dell;Workstation;15.6;Intel Core i7 6820HQ 2.7GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;2kg;2135.00
Lenovo;2 in 1 Convertible;14;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.42kg;2509.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3kg;1039.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;3kg;1591.00
Acer;Notebook;15.6;Intel Core i5 8250U 1.6GHz;12GB;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2kg;693.99
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;1349.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R7 M445;Linux;2.33kg;778.87
HP;Ultrabook;15.6;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon 520;Windows 10;1.91kg;499.00
Lenovo;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon RX 550;Windows 10;2.1kg;1229.56
Lenovo;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;938.00
Dell;Workstation;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;1.78kg;2712.00
Lenovo;Ultrabook;14;Intel Core i7 7500U 2.7GHz;16GB;1TB SSD;Intel HD Graphics 620;Windows 10;1.13kg;2625.00
Lenovo;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;Windows 10;2.2kg;306.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.9kg;1529.00
Lenovo;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 550;Windows 10;2.1kg;1144.50
Acer;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Linux;2.5kg;879.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.8kg;2249.00
Asus;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.10kg;1873.00
Toshiba;Ultrabook;13.3;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1747.00
Dell;Ultrabook;14;Intel Core i7 7600U 2.8GHz;8GB;512GB SSD;Intel HD Graphics;Windows 10;1.36kg;1680.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.2kg;409.00
Lenovo;Notebook;11.6;Intel Celeron Dual Core N3350 1.1GHz;2GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.15kg;304.45
Lenovo;Workstation;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;512GB SSD;Nvidia Quadro M1200;Windows 10;2.67kg;1925.00
Lenovo;Ultrabook;14;Intel Core i7 7700HQ 2.8GHz;8GB;512GB SSD;Nvidia GeForce GT 940MX;Windows 10;1.7kg;1943.00
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon 520;Windows 10;2.1kg;469.00
Acer;2 in 1 Convertible;13.3;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.6kg;789.01
Asus;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.27kg;928.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;AMD Radeon R5 M430;Linux;2.3kg;598.90
Dell;Notebook;13.3;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.65kg;689.00
HP;Ultrabook;14;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.43kg;1500.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.14kg;539.95
Lenovo;Ultrabook;14;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon RX 550;Windows 10;1.75kg;1215.38
Lenovo;2 in 1 Convertible;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2kg;1899.00
Chuwi;Notebook;12.3;Intel Celeron Quad Core N3450 1.1GHz;6GB;64GB Flash Storage;Intel HD Graphics 500;Windows 10;1.4kg;449.00
HP;Notebook;15.6;Intel Core i7 7820HQ 2.9GHz;8GB;256GB SSD;Intel HD Graphics 630;Windows 10;2.31kg;1427.00
Asus;Notebook;15.6;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Linux;2.3kg;597.00
Dell;Gaming;17.3;Intel Core i7 7820HK 2.9GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;2799.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.62kg;1159.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.02kg;1142.40
Dell;Ultrabook;14;Intel Core i7 7600U 2.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Linux;1.6kg;1099.00
HP;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;12GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.35kg;1999.00
Mediacom;2 in 1 Convertible;11.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB SSD;Intel HD Graphics 500;Windows 10;1.16kg;299.00
Samsung;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.15kg;269.00
Lenovo;Notebook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.4kg;1010.00
Lenovo;Notebook;14;Intel Core i3 7130U 2.7GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;599.00
Lenovo;Workstation;15.6;Intel Core i7 7600U 2.8GHz;16GB;512GB SSD;Nvidia GeForce 940MX;Windows 10;2.3kg;2445.00
Lenovo;Notebook;15.6;Intel Core i7 7820HQ 2.9GHz;16GB;512GB SSD;Nvidia Quadro M2200M;Windows 10;2.5kg;2449.00
Asus;Gaming;17.3;AMD Ryzen 1600 3.2GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2kg;1695.00
HP;Notebook;15.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;500GB HDD;Intel HD Graphics 400;Windows 10;2.1kg;347.00
Google;Ultrabook;12.3;Intel Core i7 7Y75 1.3GHz;16GB;512GB SSD;Intel HD Graphics 615;Chrome OS;1.1kg;2199.00
Lenovo;Ultrabook;14;Intel Core i7 7500U 2.7GHz;24GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;2382.00
Asus;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Linux;2kg;559.00
Lenovo;Notebook;17.3;AMD A6-Series 9220 2.5GHz;8GB;1TB HDD;AMD Radeon R4;Windows 10;2.8kg;519.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;749.00
Lenovo;Ultrabook;12.5;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1429.00
Lenovo;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;128GB SSD;Intel HD Graphics 505;Windows 10;2.2kg;349.00
HP;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1099.00
Dell;Notebook;14;Intel Core i5 7440HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.64kg;1179.00
Acer;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Linux;2.4kg;441.80
Dell;Workstation;15.6;Intel Xeon E3-1505M V6 3GHz;8GB;64GB Flash Storage +  1TB HDD;Nvidia Quadro M620;Windows 10;2.23kg;1993.00
MSI;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1027.74
Microsoft;Ultrabook;13.5;Intel Core i7 7660U 2.5GHz;16GB;512GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1.25kg;2589.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.91kg;589.00
Dell;Workstation;15.6;Intel Core i7 6820HQ 2.7GHz;16GB;256GB SSD;Nvidia Quadro M620;Windows 10;2.17kg;1975.00
HP;Workstation;15.6;Intel Core i7 7820HQ 2.9GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;2.31kg;1534.00
Lenovo;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.65kg;1345.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.36kg;979.00
Dell;2 in 1 Convertible;11.6;Intel Pentium Quad Core N3710 1.6GHz;4GB;500GB HDD;Intel HD Graphics 405;Windows 10;1.47kg;479.00
Dell;Notebook;17.3;Intel Core i7 7700HQ 2.7GHz;8GB;1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.42kg;2046.00
Microsoft;Ultrabook;13.5;Intel Core M m3-7Y30 2.2GHz;4GB;128GB SSD;Intel HD Graphics 615;Windows 10 S;1.252kg;989.00
Microsoft;Ultrabook;13.5;Intel Core i7 7660U 2.5GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1.25kg;1799.00
HP;Notebook;17.3;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.5kg;639.90
Acer;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Nvidia GeForce 940MX;Windows 10;2.23kg;544.00
Acer;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;128GB SSD;Intel HD Graphics 400;Windows 10;1.4kg;435.00
Asus;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.37kg;749.00
Lenovo;Notebook;14;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;AMD Radeon R7 M460;No OS;1.5kg;799.00
Lenovo;Notebook;15.6;Intel Core i7 7820HQ 2.9GHz;8GB;256GB SSD;Nvidia Quadro M2200M;Windows 10;2.67kg;2090.00
Asus;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;500GB HDD;Intel HD Graphics 500;Windows 10;2kg;304.00
Acer;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Nvidia GeForce GTX 940MX;Windows 10;2.2kg;469.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;2TB HDD;AMD Radeon 530;Windows 10;2.02kg;759.00
HP;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;12GB;1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.78kg;1699.00
Lenovo;Ultrabook;14;Intel Core i7 6600U 2.6GHz;12GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.4kg;1858.00
HP;2 in 1 Convertible;13.3;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.29kg;1999.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;500GB HDD;AMD FirePro W4190M ;Windows 10;1.9kg;1154.00
Google;Ultrabook;12.3;Intel Core i5 7Y57 1.2GHz;8GB;128GB SSD;Intel HD Graphics 615;Chrome OS;1.1kg;1275.00
Dell;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.42kg;1841.85
Asus;Notebook;15.6;Intel Core i7 6700HQ 2.6GHz;12GB;128GB SSD +  1TB HDD;Intel HD Graphics 530;Windows 10;2.06kg;1299.00
Dell;Notebook;14;Intel Core i3 6100U 2.3GHz;8GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.79kg;740.00
Dell;Workstation;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;1.78kg;2408.00
Lenovo;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;180GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;1364.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;AMD Radeon 520;Windows 10;2.2kg;675.00
Toshiba;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.05kg;1672.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Nvidia GeForce 940MX;Windows 10;2.16kg;1262.00
Dell;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.18kg;586.60
HP;Notebook;13.3;Intel Core i5 8250U 1.6GHz;4GB;128GB SSD;Intel UHD Graphics 620;Windows 10;1.49kg;726.00
Chuwi;Notebook;15.6;Intel Atom x5-Z8350 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics;Windows 10;1.89kg;248.90
Lenovo;Notebook;15.6;Intel Core i3 6006U 2.0GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;565.00
Lenovo;Notebook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.75kg;1049.00
Dell;Workstation;15.6;Intel Core i7 6820HQ 2.7GHz;16GB;512GB SSD;Nvidia Quadro M620;Windows 10;2.17kg;2338.00
Dell;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;1899.00
Lenovo;Ultrabook;12.5;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1798.00
Asus;Ultrabook;12.5;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;0.91kg;1950.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;2.3kg;1011.99
Toshiba;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;32GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.05kg;2799.00
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;1.99kg;1350.00
Acer;Notebook;15.6;AMD A10-Series 9620P 2.5GHz;8GB;1TB HDD;AMD Radeon RX 540;Windows 10;2.2kg;579.00
Asus;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;24GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 965M;Windows 10;4.33kg;1269.00
Lenovo;Ultrabook;12.5;Intel Core i5 6200U 2.3GHz;8GB;180GB SSD;Intel HD Graphics 520;Windows 10;1.3kg;1099.00
Lenovo;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.17kg;898.90
HP;Notebook;14;Intel Core i7 7600U 2.8GHz;8GB;1TB SSD;Intel HD Graphics 620;Windows 10;1.48kg;1749.00
Lenovo;Notebook;13.3;Intel Core i3 7100U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.4kg;949.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.3kg;911.00
Asus;Netbook;11.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;64GB Flash Storage;Intel HD Graphics 500;Windows 10 S;1.2kg;340.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;AMD Radeon 520;Windows 10;1.91kg;618.99
Lenovo;2 in 1 Convertible;13.9;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.4kg;1599.00
Lenovo;Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;500GB HDD;Intel HD Graphics 500;Windows 10;2.1kg;299.00
Lenovo;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;16GB SSD;Intel HD Graphics 400;Chrome OS;1.25kg;265.00
Lenovo;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.44kg;949.00
Asus;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD +  1TB HDD;Intel HD Graphics 620;Windows 10;2kg;1224.00
Acer;Notebook;15.6;Intel Core i5 8250U 1.6GHz;4GB;1TB HDD;Nvidia GeForce MX150;Windows 10;2.2kg;613.00
HP;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.34kg;1323.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;No OS;2.4kg;1149.00
Dell;Ultrabook;13.3;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.29kg;899.00
Acer;Notebook;15.6;Intel Core i7 7500U 2.7GHz;4GB;500GB HDD;Nvidia GeForce 940MX;Windows 10;2.2kg;639.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.18kg;836.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.2kg;1219.24
Xiaomi;Notebook;15.6;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD;Nvidia GeForce MX150;No OS;1.95kg;1399.95
Asus;Netbook;11.6;Intel Celeron Dual Core N3350 1.1GHz;2GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.1kg;245.00
HP;Notebook;15.6;Intel Core i5 8250U 1.6GHz;4GB;1TB HDD;Intel UHD Graphics 620;Windows 10;2.04kg;521.47
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;24GB;512GB SSD;Nvidia GeForce GTX1080;Windows 10;2.24kg;2968.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.04kg;889.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX1050 Ti;Windows 10;3kg;1504.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.2kg;1399.00
HP;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;1399.00
Dell;Notebook;14;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.64kg;1279.73
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.63kg;689.00
Dell;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Linux;2.8kg;889.00
Lenovo;Notebook;14;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;2.02kg;1340.00
Lenovo;Notebook;15.6;Intel Core i7 7500U 2.7GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.2kg;799.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;8GB;2TB HDD;Nvidia GeForce 920MX ;No OS;2.2kg;459.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;AMD Radeon R5 M430;Windows 10;2.3kg;585.00
Dell;Notebook;15.6;Intel Core i5 7440HQ 2.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;1377.00
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;3012.77
Toshiba;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.0kg;860.00
Asus;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2kg;1299.00
Mediacom;Notebook;13.3;Intel Celeron Quad Core N3450 1.1GHz;4GB;32GB SSD;Intel HD Graphics 500;Windows 10;1.2kg;369.00
Asus;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.3kg;1649.00
Dell;Notebook;15.6;Intel Core i7 7600U 2.8GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.93kg;1369.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;797.41
HP;Notebook;15.6;Intel Pentium Quad Core N3710 1.6GHz;4GB;256GB SSD;Intel HD Graphics 405;Windows 10;1.86kg;398.99
HP;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;12GB;1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.62kg;1799.00
Lenovo;Notebook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.87kg;859.00
Dell;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.2kg;1399.00
Dell;Notebook;14;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.6kg;735.87
HP;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.34kg;1145.00
Acer;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Linux;2.4kg;798.00
Asus;Notebook;15.6;AMD E-Series 7110 1.8GHz;4GB;500GB HDD;AMD Radeon R2 Graphics;Windows 10;2kg;349.00
HP;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;2.1kg;705.50
Lenovo;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.87kg;785.00
Lenovo;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;1TB HDD;Intel HD Graphics 520;No OS;2.15kg;462.35
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.86kg;397.00
Lenovo;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.99kg;1729.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;2.2kg;499.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;1116.99
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;2699.00
HP;Notebook;17.3;Intel Core i3 6006U 2GHz;8GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.65kg;544.15
HP;Notebook;17.3;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce 930MX;Windows 10;2.63kg;1280.00
Asus;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;500GB HDD;Intel HD Graphics 500;Linux;2kg;224.00
Mediacom;Notebook;13.3;Intel Atom x5-Z8350 1.44GHz;4GB;32GB Flash Storage;Intel HD Graphics;Windows 10;1.35kg;255.00
